Depth,2022,2023,2024
386.501537,-65.04328818,-66.3899652,-66.27885486
387.505675,-65.0155538,-66.32435949,-66.211277
388.509812,-65.00555261,-66.28848735,-66.11396933
389.495692,-64.97852612,-66.23051326,-66.040287
390.499829,-64.93675619,-66.20385077,-65.9684284
391.503966,-64.9105358,-66.15310163,-65.91048791
392.489847,-64.87449491,-66.09891018,-65.82066166
393.493984,-64.84622084,-66.06481631,-65.7689748
394.498121,-64.80529517,-66.04567295,-65.74219728
395.502258,-64.78668504,-66.02969252,-65.6833182
396.506395,-64.75638848,-66.00926297,-65.62720643
397.492276,-64.73400517,-65.98968425,-65.59155905
398.496413,-64.71398726,-65.9662556,-65.51825317
399.50055,-64.67800006,-65.96523535,-65.45708226
400.504687,-64.64597445,-65.94920949,-65.39796424
401.508824,-64.60853245,-65.93993515,-65.35574229
402.494704,-64.55195245,-65.92261345,-65.31299523
403.498842,-64.50467549,-65.90762434,-65.2778173
404.502979,-64.45381127,-65.90289497,-65.2411139
405.488859,-64.40535582,-65.88248503,-65.19442808
406.492996,-64.37082877,-65.88031897,-65.16632443
407.497133,-64.34305442,-65.84763671,-65.11840971
408.501271,-64.34320954,-65.78982964,-65.08051282
409.505408,-64.32969578,-65.76088184,-65.05448015
410.491288,-64.306846,-65.73954637,-65.03214024
411.495425,-64.28487307,-65.70215347,-65.03550611
412.499562,-64.25541191,-65.6756869,-65.01986849
413.5037,-64.23718436,-65.62638832,-65.02212689
414.507837,-64.21147008,-65.57464494,-65.01961476
415.493717,-64.18695036,-65.52709519,-65.03646255
416.497854,-64.1547128,-65.49704281,-65.03343753
417.501991,-64.12453438,-65.42215079,-65.03206884
418.506129,-64.09553937,-65.43600706,-65.05732978
419.510266,-64.06573899,-65.35460536,-65.06541093
420.496146,-64.03249296,-65.31854271,-65.09174424
421.500283,-64.00307093,-65.35772778,-65.08475099
422.50442,-63.96662776,-65.23567579,-65.06967754
423.490301,-63.94278505,-65.22606489,-65.05997533
424.494438,-63.92151916,-65.1868086,-65.07193946
425.498575,-63.88812299,-65.23506937,-65.05709348
426.502712,-63.85732048,-65.11717612,-65.06751506
427.506849,-63.84276543,-65.22283926,-65.07193195
428.492729,-63.81992612,-65.2548663,-65.09236326
429.496867,-63.8154019,-65.25894881,-65.1051976
430.501004,-63.7902643,-65.27450694,-65.10696281
431.505141,-63.77252983,-65.22560259,-65.10395572
432.509278,-63.76256425,-65.27541003,-65.10948858
433.495158,-63.74518322,-65.22724981,-65.10030668
434.499296,-63.73532008,-65.20524762,-65.11419433
435.50343,-63.71929218,-65.17266288,-65.11065992
436.489313,-63.70349749,-65.17198884,-65.11536808
437.49345,-63.69832441,-65.22348047,-65.1238008
438.497587,-63.69098105,-65.20200134,-65.13604408
439.501725,-63.68808595,-65.2252333,-65.13589695
440.505862,-63.69301081,-65.22636745,-65.17108881
441.491742,-63.70176006,-65.23423478,-65.17229512
442.495879,-63.71772574,-65.23159643,-65.19256324
443.500016,-63.73829853,-65.25481133,-65.22671301
444.504154,-63.75566966,-65.27640076,-65.245063
445.508291,-63.78419538,-65.27763427,-65.27767975
446.494171,-63.80183355,-65.30405278,-65.29754282
447.498308,-63.82658928,-65.33391501,-65.32410225
448.502445,-63.864382,-65.33968982,-65.32892977
449.506583,-63.8970094,-65.35968662,-65.3254259
450.51072,-63.94496397,-65.37257273,-65.34771535
451.4966,-63.99736921,-65.3844041,-65.37967783
452.500737,-64.05874986,-65.40092089,-65.36119178
453.504874,-64.10289282,-65.42480297,-65.40773688
454.490754,-64.15725935,-65.4646156,-65.42199496
455.494892,-64.19170767,-65.48973429,-65.46188299
456.499029,-64.23607822,-65.51060795,-65.4806697
457.503166,-64.27885028,-65.53529466,-65.52149468
458.507303,-64.33034426,-65.56753322,-65.53600988
459.493183,-64.37587402,-65.58478209,-65.55031827
460.497321,-64.42489042,-65.60526961,-65.58413383
461.501458,-64.47983049,-65.64482418,-65.58559488
462.505595,-64.51776036,-65.64895009,-65.61161788
463.509732,-64.5570202,-65.67049634,-65.62053721
464.495612,-64.58963907,-65.68836157,-65.62131416
465.49975,-64.63831248,-65.71627855,-65.63798703
466.503887,-64.68433324,-65.74277797,-65.6458633
467.489767,-64.72060987,-65.75871431,-65.66528246
468.493904,-64.75202119,-65.78851397,-65.67132858
469.498041,-64.78738966,-65.79482795,-65.67891032
470.502179,-64.79836634,-65.84011112,-65.69523989
471.506316,-64.82008245,-65.83099887,-65.69911776
472.492196,-64.8423662,-65.8220935,-65.71083485
473.496333,-64.85766295,-65.81817733,-65.73931167
474.50047,-64.88801443,-65.83948439,-65.75022361
475.504608,-64.90401244,-65.81460113,-65.78042521
476.508745,-64.92461953,-65.8553838,-65.79156496
477.494625,-64.96095041,-65.84518646,-65.82301781
478.498762,-64.99163057,-65.87312526,-65.81653453
479.502899,-65.01553376,-65.86058938,-65.83602729
480.507037,-65.0522205,-65.88375439,-65.83323985
481.511174,-65.07884703,-65.89935781,-65.83015674
482.497054,-65.11861913,-65.91468845,-65.84591916
483.501191,-65.13600327,-65.89157702,-65.84111911
484.505328,-65.15414489,-65.96509417,-65.84920888
485.491208,-65.18801916,-65.88411123,-65.85782324
