Lon,Lat,NASC,,,,,,,,,,,
162.1,45.04,1728.969274,,,,,,,,,,,
162.35,35.04,3671.901591,,,,,,,,,,,
162.35,38.04,4739.350358,,,,,,,,,,,
162.35,39.04,4591.676944,,,,,,,,,,,
162.35,42.04,1212.657704,,,,,,,,,,,
162.35,42.29,1155.893654,,,,,,,,,,,
162.35,44.04,910.5794703,,,,,,,,,,,
162.35,44.29,980.0213045,,,,,,,,,,,
162.6,35.04,3969.554069,,,,,,,,,,,
162.6,38.04,5051.309165,,,,,,,,,,,
162.6,39.04,3288.12708,,,,,,,,,,,
162.6,42.04,738.379421,,,,,,,,,,,
162.6,42.29,859.5389901,,,,,,,,,,,
162.6,42.54,1037.450392,,,,,,,,,,,
162.6,44.29,1922.894182,,,,,,,,,,,
162.85,35.04,4970.531542,,,,,,,,,,,
162.85,38.04,5389.258497,,,,,,,,,,,
162.85,39.04,4533.610736,,,,,,,,,,,
162.85,42.29,966.9430175,,,,,,,,,,,
162.85,42.54,865.9839349,,,,,,,,,,,
162.85,44.29,1722.90611,,,,,,,,,,,
162.85,44.54,1124.328912,,,,,,,,,,,
163.1,35.04,6993.914393,,,,,,,,,,,
163.1,38.04,5166.785884,,,,,,,,,,,
163.1,39.04,4513.108695,,,,,,,,,,,
163.1,42.54,1167.630465,,,,,,,,,,,
163.1,44.54,727.5408024,,,,,,,,,,,
163.35,35.04,5624.313502,,,,,,,,,,,
163.35,38.04,3426.527368,,,,,,,,,,,
163.35,39.04,5651.943251,,,,,,,,,,,
163.35,42.54,1213.643196,,,,,,,,,,,
163.35,44.54,389.094719,,,,,,,,,,,
163.35,44.79,738.1736805,,,,,,,,,,,
163.6,35.04,3514.656477,,,,,,,,,,,
163.6,38.04,2486.985607,,,,,,,,,,,
163.6,39.04,5772.628833,,,,,,,,,,,
163.6,44.79,1236.735125,,,,,,,,,,,
163.85,35.04,4276.926536,,,,,,,,,,,
163.85,38.04,3268.658659,,,,,,,,,,,
163.85,39.04,4974.286532,,,,,,,,,,,
163.85,42.04,978.6162829,,,,,,,,,,,
163.85,42.29,682.6754229,,,,,,,,,,,
163.85,42.54,972.6233399,,,,,,,,,,,
163.85,42.79,699.5231978,,,,,,,,,,,
163.85,43.04,733.900331,,,,,,,,,,,
163.85,44.79,393.245545,,,,,,,,,,,
163.85,45.04,1027.680486,,,,,,,,,,,
164.1,35.04,2340.842458,,,,,,,,,,,
164.1,35.29,2538.334282,,,,,,,,,,,
164.1,35.54,3995.147529,,,,,,,,,,,
164.1,35.79,3693.039148,,,,,,,,,,,
164.1,36.04,3383.152195,,,,,,,,,,,
164.1,36.29,3631.556704,,,,,,,,,,,
164.1,36.54,3989.170761,,,,,,,,,,,
164.1,36.79,4359.27666,,,,,,,,,,,
164.1,37.04,4762.574346,,,,,,,,,,,
164.1,37.29,7663.428959,,,,,,,,,,,
164.1,37.54,4370.81702,,,,,,,,,,,
164.1,37.79,3978.666197,,,,,,,,,,,
164.1,38.04,4321.460163,,,,,,,,,,,
164.1,39.04,3609.93695,,,,,,,,,,,
164.1,39.29,2401.750137,,,,,,,,,,,
164.1,39.54,2989.04255,,,,,,,,,,,
164.1,39.79,2746.79599,,,,,,,,,,,
164.1,40.04,1733.366278,,,,,,,,,,,
164.1,40.29,2133.051046,,,,,,,,,,,
164.1,40.54,1779.692334,,,,,,,,,,,
164.1,40.79,2110.161538,,,,,,,,,,,
164.1,41.04,1871.161603,,,,,,,,,,,
164.1,41.29,2049.474419,,,,,,,,,,,
164.1,41.54,1426.673677,,,,,,,,,,,
164.1,41.79,1154.594366,,,,,,,,,,,
164.1,42.04,985.3872267,,,,,,,,,,,
164.1,42.79,741.6950983,,,,,,,,,,,
164.1,43.04,694.9335583,,,,,,,,,,,
164.1,44.04,1180.479276,,,,,,,,,,,
164.1,44.29,1173.664467,,,,,,,,,,,
164.1,45.04,509.5949154,,,,,,,,,,,
164.1,45.29,170.811749,,,,,,,,,,,
164.35,45.29,219.2432083,,,,,,,,,,,
